PROVINSI;KAB/KOT;ID;NDBI;NDVI;NDWI;CO2;CO;NO2;Curah Hujan (BMKG);Temperature (BMKG);Kelembaban (BMKG);KEP. PENDUDUK;JUMLAH PENDUDUK;PRESENTASE PENDUDUK MISKIN;JUMLAH DOKTER;RASIO DOKTER;;;;;;;;
Jawa Timur;Mojokerto;ID3516;-0,15235;0,574215279;-0,5117;0,0001540;0,029502621;0,000073;6,8147;25,3488;80,7687;1.568;1125522;10,62;512;0,454900037;;;;;;;;
Jawa Timur;Jombang;ID3517;-0,16016;0,582037442;-0,5196;0,0001628;0,030076756;0,000066;5,7802;26,2031;80,7187;1.189;1325914;10;685;0,516624758;;;;;;;;
Jawa Timur;Nganjuk;ID3518;-0,12891;0,613295228;-0,5586;0,0001480;0,029311244;0,000058;6,2171;25,9593;81,3506;906;1109683;11,85;372;0,335230872;;;;;;;;
Jawa Timur;Madiun;ID3519;-0,12891;0,628907567;-0,5664;0,0001428;0,028634598;0,000056;6,6496;25,5856;83,0729;723;750143;11,91;197;0,262616594;;;;;;;;
Jawa Timur;Magetan;ID3520;-0,15236;0,613265404;-0,5586;0,0001312;0,027027792;0,000053;6,6933;25,3773;82,0320;979;674133;10,66;287;0,425732014;;;;;;;;
Jawa Timur;Ngawi;ID3521;-0,14453;0,605459353;-0,5430;0,0001404;0,028493252;0,000055;6,4914;26,6476;79,2366;674;873346;15,57;426;0,487779185;;;;;;;;
Jawa Timur;Bojonegoro;ID3522;-0,06640;0,542957803;-0,5117;0,0001395;0,029033616;0,000057;5,9636;26,9154;79,2177;595;1307602;13,27;618;0,472620874;;;;;;;;
Jawa Timur;Tuban;ID3523;0,01172;0,480464517;-0,4883;0,0001314;0,029014051;0,000060;4,9979;27,2982;79,2598;656;1203127;16,31;477;0,396466873;;;;;;;;
Jawa Timur;Lamongan;ID3524;-0,06639;0,433596988;-0,4336;0,0001471;0,029366558;0,000064;5,9247;27,4311;77,2275;761;1356027;13,86;833;0,614294553;;;;;;;;
Jawa Timur;Gresik;ID3525;-0,11327;0,371076992;-0,3789;0,0001503;0,029135541;0,000070;5,7107;27,7018;77,6230;1.109;1320570;12,42;1143;0,865535337;;;;;;;;
Jawa Timur;Bangkalan;ID3526;-0,10546;0,621093517;-0,5664;0,0001180;0,027792802;0,000053;5,8124;27,8991;77,5302;170;1071712;21,57;267;0,249134096;;;;;;;;
Jawa Timur;Sampang;ID3527;-0,08203;0,574223134;-0,5352;0,0001060;0,027718964;0,000049;5,1958;27,9766;77,9141;792;976020;23,76;172;0,176225897;;;;;;;;
Jawa Timur;Pamekasan;ID3528;-0,05077;0,5195204;-0,5117;0,0000928;0,02717491;0,000047;4,9489;27,9208;76,8298;177;853507;15,3;358;0,419445886;;;;;;;;
Jawa Timur;Sumenep;ID3529;-0,08201;0,597651494;-0,5742;0,0000870;0,026880233;0,000043;5,3879;28,1122;77,1214;565;1129822;20,51;192;0,169938273;;;;;;;;
Jawa Timur;Kota Kediri;ID3571;-0,12108;0,566444017;-0,5196;0,0001563;0,029219287;0,000060;6,2767;25,7536;82,0521;4.542;287962;7,75;651;2,260714955;;;;;;;;
Jawa Timur;Kota Blitar;ID3572;-0,06636;0,496088049;-0,4570;0,0000977;0,027962996;0,000049;5,8912;25,6653;83,5901;4.617;150371;7,89;324;2,154670781;;;;;;;;
Jawa Timur;Kota Malang;ID3573;-0,00392;0,37108801;-0,3789;0,0001315;0,026797881;0,000060;8,7393;25,1480;85,0581;5.816;844933;4,62;3199;3,786099016;;;;;;;;
Jawa Timur;Kota Probolinggo;ID3574;-0,12895;0,535117704;-0,5195;0,0001289;0,028133801;0,000070;5,0240;27,4385;78,8835;4.256;241202;7,44;300;1,243770781;;;;;;;;
Jawa Timur;Kota Pasuruan;ID3575;-0,12895;0,394574018;-0,4024;0,0001386;0,029238684;0,000068;4,8483;27,3740;76,7401;5.937;209528;6,88;228;1,088160055;;;;;;;;
Jawa Timur;Kota Mojokerto;ID3576;-0,01171;0,363259271;-0,3554;0,0001737;0,030577532;0,000079;5,5040;27,0795;79,6182;6.594;133272;6,39;339;2,543670088;;;;;;;;
Jawa Timur;Kota Madiun;ID3577;0,00386;0,394516767;-0,4023;0,0001637;0,028952702;0,000060;6,4505;26,3800;81,8641;5.805;196917;5,09;484;2,457888349;;;;;;;;
Jawa Timur;Kota Surabaya;ID3578;0,01955;0,191383069;-0,2461;0,0001363;0,028769462;0,000076;5,7935;27,6806;76,0303;8.217;2880284;5,23;8733;3,031992678;;;;;;;;
Jawa Timur;Kota Batu;ID3579;-0,22266;0,730491965;-0,6368;0,0000864;0,023690317;0,000048;7,4825;21,8637;84,9653;1.570;214653;4,09;299;1,392945824;;;;;;;;
Banten;Pandeglang;ID3601;-0,30083;0,816537405;-0,6993;0,0001321;0,029490999;0,000051;9,1542;26,9943;81,4366;469;1284640;10,72;136;0,105866235;;;;;;;;
Banten;Lebak;ID3602;-0,28518;0,816554992;-0,6993;0,0001607;0,029012448;0,000063;9,5923;25,6178;83,9298;411;1400630;10,29;259;0,184916787;;;;;;;;
Banten;Tangerang;ID3603;-0,12893;0,433603826;-0,4180;0,0002229;0,033303849;0,000111;6,2599;27,3061;78,8531;3.255;3279710;7,12;1658;0,505532501;;;;;;;;
Banten;Serang;ID3604;-0,24612;0,636708492;-0,5664;0,0001949;0,031722456;0,000091;6,7791;27,2010;81,8290;950;1640110;5,49;306;0,186572852;;;;;;;;
Banten;Kota Tangerang;ID3671;0,06640;0,207005821;-0,2461;0,0002681;0,03449049;0,000151;5,6065;27,4779;78,2117;12.421;1912030;5,93;1047;0,54758555;;;;;;;;
Banten;Kota Cilegon;ID3672;-0,11330;0,558633468;-0,5117;0,0001842;0,03278483;0,000109;6,0499;27,6277;81,4923;2.517;439480;4,24;344;0,782743242;;;;;;;;
Banten;Kota Serang;ID3673;-0,18362;0,542949864;-0,5039;0,0002043;0,031821889;0,000096;5,8695;27,4623;82,2822;2.642;700950;6,79;305;0,435123761;;;;;;;;
Banten;Kota Tangerang Selatan;ID3674;0,01955;0,308588433;-0,3320;0,0002369;0,033503837;0,000143;7,7293;27,3935;79,0085;9.278;1365390;2,57;967;0,708222559;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
